"","temperature_main","temperature_main","ASPump","FBRM","L50","L90","L10","W10","W50","W90","stirrer_main","SOLUPump","SOLVPump","SeedPump","Scale","CLEPump","Valve_position","stirrer_seed","stirrer_solution","CED10","CED50","CED90"
Time,H01:External T,H01:T Setpt,File  W: AS flow ,OPC R: Counts ,OPC R: L50 ,OPC R: L90 ,OPC R: L10 ,OPC R: W10 ,OPC R: W50 ,OPC R: W90 ,S01:Stirrer speed  (Setpt),P02:Pump speed  (Setpt),P01:Pump speed  (Setpt),P03:Pump speed  (Setpt),File R: AS Scale ,P04:Pump speed  (Setpt),File  W: Valve state,S02:Stirrer speed  (Setpt),S03:Stirrer speed  (Setpt),OPC R: CED10 micron,OPC R: CED50 micron,OPC R: CED90 micron
min,C,C,RPM,Counts,micron,micron,micron,micron,micron,micron,RPM,RPM,RPM,RPM,g,RPM,,RPM,RPM,,,
2.919,20.060,20.000,0.000,1062.254,13.327,23.600,1.421,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.421,4.752,8.545
3.004,20.070,20.000,0.000,1287.207,13.327,23.600,1.421,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.421,4.752,8.545
3.090,20.070,20.000,0.000,1376.908,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.176,20.070,20.000,0.000,1376.908,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.261,20.060,20.000,0.000,1403.646,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.345,20.070,20.000,0.000,1403.646,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.431,20.060,20.000,0.000,1424.033,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.515,20.070,20.000,0.000,1424.033,13.387,23.649,1.424,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.424,4.841,8.646
3.600,20.070,20.000,0.000,1446.430,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
3.685,20.070,20.000,0.000,1446.430,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
3.771,20.070,20.000,0.000,1599.691,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
3.856,20.070,20.000,0.000,1599.691,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
3.943,20.070,20.000,0.000,1635.559,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
4.028,20.070,20.000,0.000,1635.559,12.157,23.241,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.430,8.526
4.114,20.070,20.000,0.000,1647.654,13.263,23.633,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.890,8.740
4.200,20.070,20.000,0.000,1647.654,13.263,23.633,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.890,8.740
4.285,20.070,20.000,0.000,1655.325,13.263,23.633,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.890,8.740
4.371,20.060,20.000,0.000,1655.325,13.263,23.633,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.890,8.740
4.456,20.070,20.000,0.000,1683.309,13.263,23.633,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.890,8.740
4.542,20.070,20.000,0.000,1683.309,13.263,23.633,1.413,0.860,1.807,3.110,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.648,5.363,8.823
4.627,20.070,20.000,0.000,1843.929,14.871,24.119,1.648,0.856,1.806,3.110,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.648,5.363,8.823
4.712,20.060,20.000,0.000,1843.929,14.871,24.119,1.648,0.856,1.806,3.110,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.648,5.363,8.823
