"","temperature_main","temperature_main","ASPump","FBRM","L50","L90","L10","W10","W50","W90","stirrer_main","SOLUPump","SOLVPump","SeedPump","Scale","CLEPump","Valve_position","stirrer_seed","stirrer_solution","CED10","CED50","CED90"
Time,H01:External T,H01:T Setpt,File  W: AS flow ,OPC R: Counts ,OPC R: L50 ,OPC R: L90 ,OPC R: L10 ,OPC R: W10 ,OPC R: W50 ,OPC R: W90 ,S01:Stirrer speed  (Setpt),P02:Pump speed  (Setpt),P01:Pump speed  (Setpt),P03:Pump speed  (Setpt),File R: AS Scale ,P04:Pump speed  (Setpt),File  W: Valve state,S02:Stirrer speed  (Setpt),S03:Stirrer speed  (Setpt),OPC R: CED10 micron,OPC R: CED50 micron,OPC R: CED90 micron
min,C,C,RPM,Counts,micron,micron,micron,micron,micron,micron,RPM,RPM,RPM,RPM,g,RPM,,RPM,RPM,,,
27.395,33.480,45.880,0.000,290.778,11.001,22.702,1.304,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.679,7.994
27.489,33.650,46.068,0.000,373.249,11.001,22.702,1.304,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.679,7.994
27.584,33.810,46.258,0.000,373.249,11.001,22.702,1.304,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.331,4.250,8.441
27.678,33.980,46.446,0.000,298.934,11.786,23.026,1.331,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.331,4.250,8.441
27.772,34.150,46.634,0.000,299.228,11.786,23.026,1.331,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.331,4.250,8.441
27.867,34.320,46.825,0.000,299.228,11.786,23.026,1.331,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.331,4.250,8.441
27.962,34.490,47.014,0.000,303.389,11.786,23.026,1.331,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.331,4.250,8.441
28.056,34.660,47.203,0.000,303.389,11.786,23.026,1.331,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.154,34.850,47.398,0.000,313.460,12.853,23.396,1.446,0.979,1.943,3.545,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.249,35.020,47.587,0.000,313.460,12.853,23.396,1.446,0.979,1.943,3.545,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.345,35.190,47.780,0.000,252.824,12.853,23.396,1.446,0.979,1.943,3.545,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.435,35.360,47.960,0.000,252.824,12.853,23.396,1.446,0.979,1.943,3.545,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.524,35.520,48.138,0.000,327.051,12.853,23.396,1.446,0.979,1.943,3.545,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.446,4.860,8.596
28.613,35.690,48.316,0.000,318.717,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.605
28.702,35.850,48.495,0.000,318.717,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.605
28.791,36.000,48.672,0.000,352.166,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.605
28.880,36.180,48.850,0.000,352.166,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.605
28.969,36.340,49.028,0.000,286.657,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.605
29.058,36.500,49.206,0.000,286.657,12.137,23.180,1.346,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.346,4.495,8.457
29.147,36.670,49.384,0.000,309.977,11.272,22.842,1.427,1.159,2.182,5.175,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.427,4.707,8.457
29.238,36.840,49.566,0.000,309.977,11.272,22.842,1.427,1.159,2.182,5.175,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.427,4.707,8.457
29.327,37.000,49.745,0.000,310.231,11.272,22.842,1.427,1.159,2.182,5.175,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.427,4.707,8.457
29.419,37.170,49.929,0.000,310.231,11.272,22.842,1.427,1.159,2.182,5.175,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.427,4.707,8.457
29.509,37.330,50.108,0.000,323.786,11.272,22.842,1.427,1.159,2.182,5.175,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.427,4.707,8.457
29.598,37.500,50.285,0.000,323.786,11.272,22.842,1.427,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.370,4.384,8.285
29.687,37.660,50.465,0.000,264.053,11.462,22.916,1.370,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.370,4.384,8.285
29.776,37.830,50.643,0.000,264.053,11.462,22.916,1.370,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.370,4.384,8.285
29.866,37.990,50.822,0.000,307.003,11.462,22.916,1.370,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.370,4.384,8.285
29.955,38.160,51.001,0.000,314.997,11.462,22.916,1.370,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.370,4.384,8.285
30.045,38.310,51.180,0.000,314.997,11.462,22.916,1.370,0.994,1.960,3.887,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.134,38.490,51.359,0.000,303.755,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.224,38.660,51.538,0.000,303.755,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.312,38.810,51.715,0.000,326.619,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.402,38.990,51.893,0.000,326.619,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.491,39.160,52.072,0.000,310.062,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.325,4.127,8.370
30.580,39.320,52.250,0.000,310.062,10.989,22.747,1.325,0.921,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
30.668,39.490,52.426,0.000,282.664,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
30.756,39.650,52.603,0.000,282.664,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
30.847,39.830,52.784,0.000,240.296,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
30.936,40.000,52.962,0.000,374.303,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
31.025,40.160,53.140,0.000,374.303,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.601,8.555
31.112,40.330,53.315,0.000,374.303,12.675,23.347,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.202,40.500,53.494,0.000,316.923,13.201,23.590,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.291,40.670,53.673,0.000,291.143,13.201,23.590,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.380,40.850,53.851,0.000,291.143,13.201,23.590,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.469,41.010,54.028,0.000,291.660,13.201,23.590,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.557,41.180,54.205,0.000,291.660,13.201,23.590,1.453,0.945,1.906,3.782,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.453,4.843,8.552
31.647,41.350,54.385,0.000,361.025,3.304,22.205,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.189,7.503
31.736,41.520,54.563,0.000,361.025,3.304,22.205,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.189,7.503
31.825,41.680,54.739,0.000,307.975,3.304,22.205,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.189,7.503
31.913,41.860,54.916,0.000,307.975,3.304,22.205,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.189,7.503
32.002,42.030,55.095,0.000,277.983,3.304,22.205,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.189,7.503
32.091,42.200,55.273,0.000,277.983,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.180,42.370,55.450,0.000,294.353,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.268,42.530,55.627,0.000,295.935,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.358,42.720,55.806,0.000,295.935,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.447,42.890,55.984,0.000,297.828,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.535,43.070,56.161,0.000,297.828,4.246,22.641,1.296,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.296,3.654,8.196
32.625,43.230,56.340,0.000,289.305,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.291,3.557,8.131
32.717,43.410,56.523,0.000,289.305,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.291,3.557,8.131
32.806,43.580,56.702,0.000,330.163,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.291,3.557,8.131
32.893,43.760,56.877,0.000,330.163,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.291,3.557,8.131
32.982,43.920,57.053,0.000,286.748,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.291,3.557,8.131
33.070,44.090,57.230,0.000,286.748,3.779,22.303,1.291,0.908,1.861,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.160,44.270,57.411,0.000,312.855,5.736,22.341,1.297,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.250,44.450,57.591,0.000,312.855,5.736,22.341,1.297,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.340,44.620,57.770,0.000,306.396,5.736,22.341,1.297,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.429,44.790,57.948,0.000,306.396,5.736,22.341,1.297,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.518,44.970,58.126,0.000,288.567,5.736,22.341,1.297,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.271,3.220,8.228
33.607,45.150,58.305,0.000,227.847,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.358
33.696,45.320,58.482,0.000,227.847,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.358
33.785,45.490,58.660,0.000,254.147,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.358
33.875,45.670,58.839,0.000,254.147,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.358
33.964,45.850,59.018,0.000,275.944,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.358
34.053,46.020,59.195,0.000,275.944,11.453,22.862,1.318,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.318,4.042,8.425
34.141,46.190,59.372,0.000,267.792,11.292,22.840,1.313,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.313,4.031,8.425
34.231,46.370,59.551,0.000,267.792,11.292,22.840,1.313,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.313,4.031,8.425
34.320,46.550,59.731,0.000,309.315,11.292,22.840,1.313,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.313,4.031,8.425
34.408,46.720,59.907,0.000,309.315,11.292,22.840,1.313,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.313,4.031,8.425
34.497,46.890,60.085,0.000,265.112,11.292,22.840,1.313,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.313,4.031,8.425
34.587,47.070,60.264,0.000,265.112,11.292,22.840,1.313,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
34.677,47.240,60.443,0.000,251.819,3.005,22.030,1.261,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
34.766,47.420,60.622,0.000,251.819,3.005,22.030,1.261,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
34.854,47.580,60.799,0.000,305.837,3.005,22.030,1.261,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
34.943,47.760,60.976,0.000,305.837,3.005,22.030,1.261,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
35.031,47.930,61.153,0.000,283.536,3.005,22.030,1.261,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.261,3.005,8.278
35.121,48.110,61.331,0.000,291.884,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,3.642,8.272
35.210,48.280,61.509,0.000,291.884,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,3.642,8.272
35.299,48.450,61.689,0.000,323.985,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,3.642,8.272
35.389,48.640,61.869,0.000,323.985,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,3.642,8.272
35.479,48.810,62.048,0.000,282.692,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,3.642,8.272
35.568,48.980,62.226,0.000,282.692,4.056,22.565,1.293,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.293,4.778,8.703
35.657,49.160,62.404,0.000,321.702,12.862,23.406,1.389,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.389,4.778,8.703
35.747,49.330,62.584,0.000,321.702,12.862,23.406,1.389,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.389,4.778,8.703
35.836,49.510,62.761,0.000,290.052,12.862,23.406,1.389,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.389,4.778,8.703
35.925,49.690,62.940,0.000,290.052,12.862,23.406,1.389,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.389,4.778,8.703
36.013,49.860,63.116,0.000,253.762,12.862,23.406,1.389,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.389,4.778,8.703
36.101,50.040,63.293,0.000,253.762,12.862,23.406,1.389,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.191,50.210,63.472,0.000,273.524,10.813,22.414,1.322,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.281,50.400,63.651,0.000,273.524,10.813,22.414,1.322,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.369,50.570,63.828,0.000,252.135,10.813,22.414,1.322,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.457,50.740,64.005,0.000,270.274,10.813,22.414,1.322,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.546,50.920,64.182,0.000,270.274,10.813,22.414,1.322,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.280,3.324,7.844
36.635,51.090,64.360,0.000,251.410,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.256,2.932,7.929
36.723,51.260,64.536,0.000,251.410,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.256,2.932,7.929
36.812,51.440,64.714,0.000,304.100,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.256,2.932,7.929
36.902,51.620,64.895,0.000,304.100,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.256,2.932,7.929
36.992,51.800,65.000,0.000,279.290,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.256,2.932,7.929
37.081,51.980,65.000,0.000,279.290,2.932,21.347,1.256,0.943,1.899,3.430,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.166,52.140,65.000,0.000,226.238,12.554,23.375,1.405,0.946,1.905,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.252,52.320,65.000,0.000,226.238,12.554,23.375,1.405,0.946,1.905,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.338,52.480,65.000,0.000,242.244,12.554,23.375,1.405,0.946,1.905,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.424,52.650,65.000,0.000,242.244,12.554,23.375,1.405,0.946,1.905,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.509,52.820,65.000,0.000,220.263,12.554,23.375,1.405,0.946,1.905,3.447,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.405,4.797,8.662
37.595,53.000,65.000,0.000,294.336,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
37.682,53.160,65.000,0.000,294.336,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
37.768,53.330,65.000,0.000,294.336,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
37.853,53.500,65.000,0.000,282.476,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
37.938,53.670,65.000,0.000,271.108,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
38.025,53.840,65.000,0.000,271.108,2.827,21.703,1.249,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.249,2.827,7.653
38.110,54.010,65.000,0.000,271.108,2.827,21.703,1.249,0.863,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.197,54.180,65.000,0.000,275.196,6.754,22.599,1.314,0.922,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.283,54.350,65.000,0.000,275.196,6.754,22.599,1.314,0.922,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.369,54.530,65.000,0.000,259.100,6.754,22.599,1.314,0.922,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.455,54.700,65.000,0.000,258.988,6.754,22.599,1.314,0.922,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.541,54.860,65.000,0.000,258.988,6.754,22.599,1.314,0.922,1.876,3.362,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.314,4.034,8.404
38.627,55.030,65.000,0.000,258.988,6.754,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.346,8.174
38.711,55.200,65.000,0.000,257.302,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.346,8.174
38.799,55.370,65.000,0.000,237.772,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.346,8.174
38.885,55.520,65.000,0.000,237.772,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.346,8.174
38.971,55.700,65.000,0.000,226.448,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,4.346,8.174
39.056,55.850,65.000,0.000,226.448,12.675,23.347,1.376,0.861,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.376,2.958,8.007
39.141,56.020,65.000,0.000,216.240,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.258,2.958,8.007
39.228,56.180,65.000,0.000,216.240,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.258,2.958,8.007
39.314,56.340,65.000,0.000,285.395,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.258,2.958,8.007
39.399,56.490,65.000,0.000,285.395,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.258,2.958,8.007
39.484,56.650,65.000,0.000,257.392,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.258,2.958,8.007
39.571,56.800,65.000,0.000,257.392,2.958,21.921,1.258,0.863,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
39.658,56.960,65.000,0.000,248.794,13.440,23.676,1.494,0.978,1.945,4.102,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
39.744,57.120,65.000,0.000,248.794,13.440,23.676,1.494,0.978,1.945,4.102,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
39.831,57.260,65.000,0.000,288.250,13.440,23.676,1.494,0.978,1.945,4.102,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
39.916,57.410,65.000,0.000,288.250,13.440,23.676,1.494,0.978,1.945,4.102,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
40.003,57.560,65.000,0.000,240.383,13.440,23.676,1.494,0.978,1.945,4.102,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.494,5.029,8.688
40.089,57.700,65.000,0.000,240.383,13.440,23.676,1.494,0.978,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.317,4.274,8.585
40.175,57.840,65.000,0.000,256.117,12.209,23.055,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.317,4.274,8.585
40.260,57.980,65.000,0.000,256.117,12.209,23.055,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.317,4.274,8.585
40.347,58.110,65.000,0.000,280.035,12.209,23.055,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.317,4.274,8.585
