cmp1,temperature_main
cmp2,ASPump
cmp3,FBRM
cmp4,L50
cmp5,L90
cmp6,L10
cmp7,W10
cmp8,W50
cmp9,W90
cmp10,Concentration
cmp11,stirrer_main
cmp12,SOLUPump
cmp13,SOLVPump
cmp14,SeedPump
cmp15,Scale
cmp16,CLEPump
cmp17,Valve_position
cmp18,stirrer_seed
cmp19,stirrer_solution
cmp20,CED10
cmp21,CED50
cmp22,CED90
