Device,Stirrer J-KEM|P02
Label,SEED-STIR
Calibration A,1
Calibration B,0
Start time,0
Time (min),Stirrer speed (RPM)
0.06,310
5.04,310
5.1,310
8.3151893939394,310
8.31618939393939,310
8.37718939393939,310
8.39385606060606,310
8.39485606060606,310
14.3948560606061,310
14.4548560606061,310
36.954856060606,310
37.5548560606061,310
67.5548560606061,310
67.6148560606061,310
67.6748560606061,310
68.0509673368273,310
68.0519673368273,310
68.1129673368273,310
68.1296340034939,310
68.1306340034939,310
98.1306340034939,310
98.1906340034939,310
356.790634003494,310
356.850634003494,310
362.850634003494,310
362.910634003494,310
482.910634003494,310
488.910634003494,310
488.970634003494,310
608.970634003494,310
609.030634003494,310
609.090634003494,310
609.150634003494,310
609.210634003494,310
609.270634003494,310
609.330634003494,310
609.390634003493,310
669.390634003493,310
